,Faceta,gamma,seed,O,O',P(O|x),X,ResonantW,DisonantW
10,openness,0.25,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,1,0.492688954,"The c81 series combines an ultra-slim design, picture quality, and a high quality image signal processor. Its unique technology has enabled the C81 to deliver images at the same resolution and color fidelity as the best-selling C8 series cameras.","design,picture,quality,quality,image,technology,images",high
11,openness,0.25,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,1,0.446530789,"The c81 series combines an ultra-slim design, picture quality, and a high quality image sensor with high-performance image processing, including Image Processing Engine 8 (IPE8) and Image Stabilizer 8 (ISA8). The camera is also capable of 16K/24P60-format.","design,picture,quality,quality,image,image",high
12,openness,0.25,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,-1,0.336790174,"The c81 series combines an ultra-slim design, picture quality, and a high quality image processor. The screen offers an extremely bright, high contrast, and comfortable viewing position.","design,picture,quality,quality,image,bright,position","high,high"
13,openness,0.25,"At 90 cm wide, haier's side-by-side 90 refrigerators offer large capacity",-1,-1,0.510715425,"At 90 cm wide, haier's side-by-side 90 refrigerators offer large capacity refrigerants to meet high quality refrigerant requirements in the refrigeration of food, food products and products from the agricultural industry.",quality,high
14,openness,0.25,Humidifier that increases and regulates the relative humidity of the room,-1,-1,0.477205396,"Humidifier that increases and regulates the relative humidity of the room.

The air inside a Humi-Droid will have higher relative humidity than a typical room. This is a feature and not a function of the product.",,"regulates,higher"
15,openness,0.25,Visionary Imac like never before,-1,-1,0.685514331,"Visionary Imac like never before, he is the first artist I ever saw in a show, he was like that, he was just an artist, I remember, the way his music is like, he's not going to do a track, he's just going to do an",,way
16,openness,0.25,The new macbook pro offers out-of-the-box performance for professionals,-1,-1,0.329521686,"The new macbook pro offers out-of-the-box performance for professionals, but it also comes with a lot of in-app-purchases, like an app for the iPhone that provides a full suite of video editing, including an option for a live-streaming mode.","performance,option",mode
17,conscientiousness,0.2,Women's Harley Davidson Jacket,-1,-1,0.567382336,"Women's Harley Davidson Jacket

We were inspired by a previous jacket that our friend, Sarah, had designed. The inspiration for the jacket was a classic and very modern style with a modern look.",friend,style
18,conscientiousness,0.2,White pure linen curtain,-1,-1,0.449556351,"White pure linen curtain, with white linen lining.

A very simple and beautiful white pure linen curtain, in the style used for the wedding of King and Queen of Bohemia.",,"simple,style"
19,conscientiousness,0.2,Papaya body cream,-1,-1,0.47922647,"Papaya body cream has been shown to be an effective way of improving the skin's health. It is a natural skin care product that can help reduce and improve redness, and to improve skin tone and reduce wrinkles.",,way
20,conscientiousness,0.2,cleaning products,-1,-1,0.289142996,"cleaning products

We use high quality hand-cleaned and free of dioxin-causing products for the protection of the earth and all natural living things.",quality,high
21,conscientiousness,0.2,Electric scooters the electric transition is underway,-1,-1,0.367989838,"Electric scooters the electric transition is underway, with new models from the likes of Tesla and Daimler on the way.",transition,way
22,conscientiousness,0.2,Electric scooters the electric transition is underway,-1,-1,0.405503154,"Electric scooters the electric transition is underway, with plans to start rolling off the production lines and into the hands of the public by 2017.

In the UK, the Government's E10 scheme will see electric vehicles (EV) sold by 2020.","transition,rolling,public,scheme,see",plans
23,conscientiousness,0.2,Move freely while listening to your favorite music,-1,-1,0.685826302,"Move freely while listening to your favorite music, with Soundscape's Soundscape app. The app is designed to be easy-to-use and allows you to quickly and easily create your own audio tracks for your favorite music and other music in an easy-to-use way.",,way
24,conscientiousness,0.2,Sound bar speaker for pc and tv,-1,-1,0.3384431,"Sound bar speaker for pc and tv

This mod makes an easy way to connect the SoundBarModSoundBarToSoundBar2ModSoundBarSoundbar2ModSoundBar2SoundbarSoundBarToSoundBar2ModSoundBar2SoundBarSoundBar2ModSoundBar",connect,way
25,conscientiousness,0.2,Sound bar speaker for pc and tv,-1,-1,0.475251704,"Sound bar speaker for pc and tv

We are now on our first product in 3 years, we started the project with an initial investment and are now in the process of manufacturing this product with the highest standards and standards in the world.",,highest
26,conscientiousness,0.2,The lg led monitor/tv for tv has a dual purpose,-1,-1,0.286246747,"The lg led monitor/tv for tv has a dual purpose. As a stand alone monitor, it's a great way to have your laptop or desktop connected to your TV.",purpose,way
27,conscientiousness,0.2,The lg led monitor/tv for tv has a dual purpose,-1,-1,0.358411878,"The lg led monitor/tv for tv has a dual purpose – both monitor and remote. The screen can be set to display the same image on both, with no image switching or switching between monitors.","purpose,display,image,image","switching,switching"
28,conscientiousness,0.2,Thank you for choosing the sports gps watch,-1,1,0.420964628,Thank you for choosing the sports gps watch app. We are committed to providing the highest quality and customer service to our customer.,"choosing,committed,quality",highest
29,conscientiousness,0.2,Electric barbecue with powergrill technology,-1,-1,0.520542562,"Electric barbecue with powergrill technology

We've developed an innovative way of making electric BBQ with electric powergrills. The technology works as a kind of power-to-heat-grill system, and you have to turn the grill on and off.",,way
30,conscientiousness,0.2,This chair is quite comfortable to rest in after a hard day's work,-1,-1,0.569089115,"This chair is quite comfortable to rest in after a hard day's work, and it has been designed with an adjustable head and a seat back that will keep you comfortable all day. The design has been designed with a simple look that will keep you looking sharp and sharp looking.","hard,work,design",simple
31,conscientiousness,0.2,The reno 34 shoulder bag (orange) is perfect for carrying your equipment,-1,-1,0.575266182,"The reno 34 shoulder bag (orange) is perfect for carrying your equipment, gear, gear, equipment, gear, and your gear! The reno bag will also be perfect when you want a quick, quick way to bring your gear, gear and gear to and from an event, event, tournament or event.","want,bring",way
32,conscientiousness,0.2,Take a selfie with the mirror and light ring,-1,-1,0.647614777,"Take a selfie with the mirror and light ring of your camera on the inside of an iPhone 7. This is the best way to take an Instagram or Snapchat selfie. (iStockphoto)

The best selfie of all.","Take,take",way
33,conscientiousness,0.2,Take a selfie with the mirror and light ring,-1,-1,0.734748244,"Take a selfie with the mirror and light ring. If your eyes are open, it's a great way to capture your perfect reflection in a photo.

You can take a few quick photo-edits to your own face and it should do the trick.","photo,face,trick",way
34,conscientiousness,0.2,Powerful and easy to use zoom with realistic details,-1,0,0.270232052,"Powerful and easy to use zoom with realistic details.

Lifesaver mode.

Auto-Zoom mode.",,"mode,mode"
35,conscientiousness,0.2,"The neo qled TVs feature the new mini LEDs, which control the light",-1,-1,0.389834523,"The neo qled TVs feature the new mini LEDs, which control the light output. The LED's are a bit smaller than traditional ones, but are still bright enough to be useful for some applications.","control,light,bright",traditional
36,conscientiousness,0.2,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,-1,0.557191253,"The c81 series combines an ultra-slim design, picture quality, and a high quality image signal processor. Its unique technology has proven to be a key driver of the high performance of the C81 and the performance-enhancing effects of this new technology have been well recognized.","design,picture,quality,quality,image,recognized","high,high"
37,conscientiousness,0.2,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,0,0.427195102,"The c81 series combines an ultra-slim design, picture quality, and a high quality image processor.","design,picture,quality,quality,image",high
38,conscientiousness,0.2,Front-loading washing machine,-1,-1,0.239775315,"Front-loading washing machine, with a single, fully-automatic, fully-automatic, all the way, all the time, and without any manual or manual-like controls.",,way
39,conscientiousness,0.2,Front-loading washing machine,-1,-1,0.421379507,"Front-loading washing machine is very effective in cleaning out your clothes and washing your car but the problem with this method is that you can not only wash your car but it also can take up to 4 hours to rinse off all the soap, detergent and other things that you",hours,method
40,conscientiousness,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,0,0.522475183,"Humidifier that increases and regulates the relative humidity of the room, allowing it to be used with an air conditioner and not have the air coming out of it be able to get into other areas of your home.",,regulates
41,conscientiousness,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,1,0.442713648,"Humidifier that increases and regulates the relative humidity of the room, allowing for better indoor humidity management and cooling and cooling to the outside.

It also provides a natural humidity environment that can help keep your home and garden humidity levels up to the standards for outdoor conditions.","environment,conditions",regulates
42,conscientiousness,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,0,0.475740224,"Humidifier that increases and regulates the relative humidity of the room.

The air inside a Humidifier is controlled by two controls - A/A/S/A and a switch.",,regulates
43,conscientiousness,0.2,The new galaxy book2 features a 15-inch screen,-1,-1,0.458941728,"The new galaxy book2 features a 15-inch screen, with high definition images. The images can be viewed up to 1,200 times, or with a high-def viewing experience, and it has been tested for up to 10 hours of viewing time.","images,images,viewed,hours,viewing",high
44,extraversion,0.2,Restaurant LE CONFIDENTIAL MARRAKECH international meals,-1,-1,0.459078014,"Restaurant LE CONFIDENTIAL MARRAKECH international meals, lunch and dinner. The restaurant's menu offers traditional, Mediterranean, Indian, Italian, and a wide range of other dishes. The restaurant has a large selection of wine, beers and spirits.","international,range,dishes",traditional
45,extraversion,0.2,Natural cream,-1,-1,0.278910547,Natural cream of tartar was the first to be introduced in a "tart" (tart-ish) and "scooped" (scooped-ish) way.,,way
46,extraversion,0.2,The LED display is 28% brighter,-1,-1,0.420846254,The LED display is 28% brighter than traditional displays and offers an impressive viewing angle of up to 200' (600 m). The screen also provides up to 1.5 hours of standby time.,"brighter,hours",traditional
47,extraversion,0.2,Electric scooters the electric transition is underway,-1,-1,0.509145916,"Electric scooters the electric transition is underway, with new models from Japan coming in 2016 and a new generation from Germany in 2017, but there's a long way to go for the UK to follow suit.","transition,long",way
48,extraversion,0.2,Executive backpack,-1,-1,0.6042943,"Executive backpack

We've created an ""executive backpack"" that's made for the most ""off the wall"" of adventures you can imagine.",,wall
49,extraversion,0.2,Executive backpack,-1,-1,0.595875442,"Executive backpack, with a single zip-up top, front and back, and a full length shoulder strap, for use by any active or inactive person or for travel with or without a load. Features and measurements are approximate.",person,measurements
50,extraversion,0.2,Your dark clothes should stay dark wash after wash,-1,-1,0.499788165,"Your dark clothes should stay dark wash after wash, not darken as much as you can and then let them dry out. I don´t think this will do much, but the way you can make a difference is to make sure there has been no dry-erase marker.",think,way
51,extraversion,0.2,The reno 34 shoulder bag (orange) is perfect for carrying your equipment,-1,-1,0.554991663,The reno 34 shoulder bag (orange) is perfect for carrying your equipment. If your bike needs an upgrade it's a great way to have your gear in a place to ride it. It has a built in seat belt holder and a belt loop for quick access.,needs,way
52,extraversion,0.2,Mini camera for kids equipped with a high-definition display,-1,-1,0.389378905,"Mini camera for kids equipped with a high-definition display.

The camera is a very simple and small-scale model for the little ones. It's the same size as a smartphone in size and shape.","size,size",simple
53,extraversion,0.2,Take a selfie with the mirror and light ring,-1,-1,0.750623643,"Take a selfie with the mirror and light ring, and you can see your reflection in the mirror and the light ring. This is a simple way to create a reflection from your reflection in front of you on a mirror.","Take,see","simple,way"
54,extraversion,0.2,A revolutionary camera system,-1,1,0.455137372,A revolutionary camera system designed for high performance video and imaging cameras. The G5 uses the latest high speed digital CMOS sensor and the first-generation in-house M.2/3 x 3.5" form-factor.,"performance,imaging",high
55,extraversion,0.2,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,-1,0.552187979,"The c81 series combines an ultra-slim design, picture quality, and a high quality image signal processor. Its unique technology, called the C81 Image Processor II, enables the system to process images and video at up to 30 times higher speeds. A wide range of image quality levels and features are available.","design,picture,quality,quality,image,technology,called,images,image,quality","high,higher"
56,extraversion,0.2,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,1,0.462981761,"The c81 series combines an ultra-slim design, picture quality, and a high quality image sensor with high-resolution camera technology, including the camera module of the Fujifilm F4. It's a camera that we think has all our needs.

The F4 is a very good lens.","design,picture,quality,quality,image,think",high
57,extraversion,0.2,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,0,0.427195102,"The c81 series combines an ultra-slim design, picture quality, and a high quality image processor.","design,picture,quality,quality,image",high
58,extraversion,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,0,0.479231834,"Humidifier that increases and regulates the relative humidity of the room, with an external temperature sensor. It can be set to control the temperature of all rooms, regardless if the humidity or air is in the room. The unit also includes a water and carbon filters for cleaning.",,regulates
59,extraversion,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,1,0.393143684,"Humidifier that increases and regulates the relative humidity of the room. If your room is humid, it's a good idea to have your Humidity Sensor mounted to your door.",idea,regulates
60,extraversion,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,0,0.543118119,"Humidifier that increases and regulates the relative humidity of the room, allowing it to be placed inside or outside the room and keeping your space cool, dry and comfortable for the entire month! ",,regulates
61,extraversion,0.2,The purline bio ethanol barbecues ,-1,-1,0.353439778,The purline bio ethanol barbecues  and other similar methods that have taken over the market and become popular in the food and beverage business have caused a significant amount to be thrown out.,significant,methods
62,extraversion,0.2,The new galaxy book2 features a 15-inch screen,-1,-1,0.358996898,"The new galaxy book2 features a 15-inch screen, with full-color images, a full and detailed cover, the ability to print, and all the details you need from the book itself (a color photo book, detailed text, and an index).","images,ability,photo",text
63,agreeableness,0.2,Women's Harley Davidson Jacket,-1,-1,0.638391137,"Women's Harley Davidson Jacket
I don't have an official website so I thought I'd post this as a way to get some attention. I am in a few different cities with different women who like to ride and want to show how much they love it.","thought,love",way
64,agreeableness,0.2,Papaya body cream,-1,-1,0.451307774,"Papaya body cream was developed in Japan from traditional ingredients, including the skin of the ripe pineapple and its flesh, which was used for its thickening, skinning and nourishing powers, but also to help protect its skin.",,traditional
65,agreeableness,0.2,5 nights all inclusive hotel accommodation at Disneyland Paris,-1,-1,0.603383601,"5 nights all inclusive hotel accommodation at Disneyland Paris, France

We have all kinds of things and we all have our own style. It's what the guests of all the different nights want.",,style
66,agreeableness,0.2,cleaning products,-1,-1,0.450282604,"cleaning products, and it was very easy to do. The best thing, is the fact the products are all made and tested on-site by one or two local experts, so I could easily do a few simple home cleaning jobs.",fact,simple
67,agreeableness,0.2,The LED display is 28% brighter,-1,-1,0.386549503,The LED display is 28% brighter than traditional displays and offers an overall picture quality that is up to 5.7 times higher than a conventional TV.,"brighter,quality","traditional,higher"
68,agreeableness,0.2,The LED display is 28% brighter,-1,-1,0.435391426,"The LED display is 28% brighter, with an additional 2.8 times the brightness and is 10% brighter than standard LED, according to the DisplayMate report, the same level of performance for color accuracy and contrast that is offered by the Samsung NX200.","brighter,brightness,brighter,report,performance",accuracy
69,agreeableness,0.2,Move freely while listening to your favorite music,-1,-1,0.607090592,"Move freely while listening to your favorite music, watch your favorite video, and play your favorite game!


The best, free and open source MP3 player available to the public, this MP3 player is a simple to use and powerful tool","watch,public",simple
70,agreeableness,0.2,Your dark clothes should stay dark wash after wash,-1,-1,0.562790036,"Your dark clothes should stay dark wash after wash after wash…

The last thing you ever want to do is to get a cold, it's the only way that you can make your body cold, you just can't. But, that's where this is coming from.",,way
71,agreeableness,0.2,Your dark clothes should stay dark wash after wash,-1,-1,0.45649007,"Your dark clothes should stay dark wash after wash, and if they're not, you can get your clothes back on. Don't worry, there's an easy way to get those dirty clothes back on.",,way
72,agreeableness,0.2,Electric barbecue with powergrill technology,-1,-1,0.593767583,"Electric barbecue with powergrill technology? What's that?

It's an idea that could have the potential to revolutionize the way food and drink are prepared in the restaurant.",idea,way
73,agreeableness,0.2,Mini camera for kids equipped with a high-definition display,-1,1,0.282983333,"Mini camera for kids equipped with a high-definition display, with a built-in, full-featured LCD, and the ability to take high speed images and video.


The C-1.","ability,images",high
74,agreeableness,0.2,Take a selfie with the mirror and light ring,-1,-1,0.77784431,"Take a selfie with the mirror and light ring. If your eyes are open, it's a great way to capture your perfect reflection in a mirror.",,way
75,agreeableness,0.2,A revolutionary camera system,-1,1,0.438166708,A revolutionary camera system designed for high quality video and imaging.,"quality,imaging",high
76,agreeableness,0.2,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,1,0.517111063,"The c81 series combines an ultra-slim design, picture quality, and a high quality image sensor with high-resolution 3-axis gyros and an 8-axis accelerometer, gyroscope, magnetometer and compass for the ultimate in motion tracking.","design,picture,quality,quality,image,compass",high
77,agreeableness,0.2,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,0,0.469040513,"The c81 series combines an ultra-slim design, picture quality, and a high quality image signal processor.","design,picture,quality,quality,image",high
78,agreeableness,0.2,"The c81 series combines an ultra-slim design, picture quality, and a high quality image",-1,1,0.402246475,"The c81 series combines an ultra-slim design, picture quality, and a high quality image. These images are produced with a high-resolution image sensor, which is the same as a CMOS sensor.","design,picture,quality,quality,image,images,produced,image",high
79,agreeableness,0.2,"At 90 cm wide, haier's side-by-side 90 refrigerators offer large capacity",-1,-1,0.554847658,"At 90 cm wide, haier's side-by-side 90 refrigerators offer large capacity to accommodate large refrigeration units, or as an extra space in your space to keep small items in for storage.

The two-way system allows you to keep a large variety of items at one place.",,"space,space,place"
80,agreeableness,0.2,A dishwasher that seats up to 13 guests,-1,-1,0.44501242,"A dishwasher that seats up to 13 guests, with a full range of cooking, cleaning, and serving, all at the same time. A great way to make a good deal with a full-size or small appliance at just a couple of dollars.",range,way
81,agreeableness,0.2,Front-loading washing machine,-1,-1,0.478068888,"Front-loading washing machine.

TheFront-loading washing machines are often used by those in the home who are concerned with the need to clean up and organize and the need for a simple, easy way to do that.",concerned,"simple,way"
82,agreeableness,0.2,This electric stove offers you everything you could ever need,-1,-1,0.507475078,"This electric stove offers you everything you could ever need to make a perfect meal. It's built in a stylish, easy-to-use design, and has a built-in gas- or electric oven that will heat up to 300 degrees and keep it that way for hours.","design,hours",way
83,agreeableness,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,-1,0.352546573,"Humidifier that increases and regulates the relative humidity of the room, with an integrated fan.

A simple and efficient fan controller.",,"regulates,simple"
84,agreeableness,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,-1,0.490568578,"Humidifier that increases and regulates the relative humidity of the room.

The Air Flow Indicator (AFI) provides a measure of relative humidity and is a simple, easy-to-use and cost-effective tool that can be used by any home.",,"regulates,measure,simple"
85,agreeableness,0.2,Humidifier that increases and regulates the relative humidity of the room,-1,-1,0.54853636,"Humidifier that increases and regulates the relative humidity of the room, allowing it to be more easily set in the event that the temperature is high, such as in an apartment or hotel room or a bathroom or shower.",,high
86,agreeableness,0.2,The purline bio ethanol barbecues ,-1,-1,0.456647485,The purline bio ethanol barbecues  and other similar methods involve using an electric fan and a fan of the same length to draw in an amount of ethanol that is a little higher than what would be considered normal for that amount and then to release this high amount into air.,,"methods,higher,normal,high"
87,agreeableness,0.2,The new galaxy book2 features a 15-inch screen,-1,-1,0.343569338,"The new galaxy book2 features a 15-inch screen, with high definition resolution. The screen can be set to display the full image at any angle, or use the screen as a small mirror or projection screen. The screen measures 16 x 9.6 inches.","display,image",high
88,agreeableness,0.2,The new macbook pro offers out-of-the-box performance for professionals,-1,-1,0.47094813,"The new macbook pro offers out-of-the-box performance for professionals who want to enjoy high quality video editing. The new Mac Pro has a new Mac Pro-class graphics processor, new Mac Pro memory and new Mac Pro graphics memory that is optimized for professional video production.","performance,quality",high
